PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
86580,20190528,NVDA,NVIDIA CORP,143.33000,-0.012539,4
86580,20190529,NVDA,NVIDIA CORP,140.34000,-0.020861,4
86580,20190530,NVDA,NVIDIA CORP,139.11000,-0.007624,4
86580,20190531,NVDA,NVIDIA CORP,135.46001,-0.026238,4
86580,20190603,NVDA,NVIDIA CORP,133.78000,-0.012402,4
86580,20190604,NVDA,NVIDIA CORP,143.00000,0.068919,4
86580,20190605,NVDA,NVIDIA CORP,141.28000,-0.012028,4
86580,20190606,NVDA,NVIDIA CORP,143.78000,0.017695,4
86580,20190607,NVDA,NVIDIA CORP,145.50000,0.011963,4
86580,20190610,NVDA,NVIDIA CORP,148.42999,0.020137,4
86580,20190611,NVDA,NVIDIA CORP,150.75000,0.015630,4
86580,20190612,NVDA,NVIDIA CORP,146.20000,-0.030182,4
86580,20190613,NVDA,NVIDIA CORP,148.25999,0.014090,4
86580,20190614,NVDA,NVIDIA CORP,144.64000,-0.024417,4
86580,20190617,NVDA,NVIDIA CORP,145.03000,0.002696,4
86580,20190618,NVDA,NVIDIA CORP,152.88000,0.054127,4
86580,20190619,NVDA,NVIDIA CORP,153.12000,0.001570,4
86580,20190620,NVDA,NVIDIA CORP,154.10001,0.006400,4
86580,20190621,NVDA,NVIDIA CORP,151.75999,-0.015185,4
86580,20190624,NVDA,NVIDIA CORP,152.66000,0.005930,4
86580,20190625,NVDA,NVIDIA CORP,151.48000,-0.007730,4
86580,20190626,NVDA,NVIDIA CORP,159.25999,0.051360,4
86580,20190627,NVDA,NVIDIA CORP,163.23000,0.024928,4
86580,20190628,NVDA,NVIDIA CORP,164.23000,0.006126,4
86580,20190701,NVDA,NVIDIA CORP,166.17000,0.011813,4
86580,20190702,NVDA,NVIDIA CORP,162.23000,-0.023711,4
86580,20190703,NVDA,NVIDIA CORP,162.75000,0.003205,4
86580,20190705,NVDA,NVIDIA CORP,160.23000,-0.015484,4
86580,20190708,NVDA,NVIDIA CORP,157.21001,-0.018848,4
86580,20190709,NVDA,NVIDIA CORP,157.31000,0.000636,4
86580,20190710,NVDA,NVIDIA CORP,160.06000,0.017481,4
86580,20190711,NVDA,NVIDIA CORP,166.28000,0.038860,4
86580,20190712,NVDA,NVIDIA CORP,167.61000,0.007999,4
86580,20190715,NVDA,NVIDIA CORP,167.27000,-0.002028,4
86580,20190716,NVDA,NVIDIA CORP,167.08000,-0.001136,4
